           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
 208      0   0.0  17772  99.9  17781 100.0        -  (FLET SWANK/BACKEND:CALL-WITH-DEBUGGER-HOOK :IN "/home/baggers/quicklisp/dists/quicklisp/software/slime-v2.20/swank/sbcl.lisp")
 209      0   0.0  17772  99.9  17781 100.0        -  SWANK::CALL-WITH-BINDINGS
 210      0   0.0  17772  99.9  17781 100.0        -  SWANK::HANDLE-REQUESTS
 211      0   0.0  17770  99.9  17781 100.0        -  VARJO.INTERNALS::COMPILE-PASS
 212      0   0.0  17768  99.9  17781 100.0        -  VARI.CL::VS-FLET
 213      0   0.0  17768  99.9  17781 100.0        -  VARJO.INTERNALS::COMPILE-CALL-WITH-SINGLE-FUNCTION
 214      0   0.0  17768  99.9  17781 100.0        -  VARI.CL::VS-LET
 215      0   0.0  17768  99.9  17781 100.0        -  VARI.CL::VS-RETURN
 216      0   0.0   2196  12.3  17781 100.0        -  VARJO.INTERNALS:COMPILE-FORMS-NOT-PROPAGATING-ENV-RETURNING-LIST-OF-COMPILED
 217      0   0.0   2192  12.3  17781 100.0        -  (LAMBDA (VARJO.INTERNALS:ENV VARI.CL::D) :IN VARI.CL::VS-FLET)
 218      0   0.0   2192  12.3  17781 100.0        -  (LAMBDA (&REST VARJO.INTERNALS:ARGS) :IN VARJO.INTERNALS:COMPILE-FORMS-NOT-PROPAGATING-ENV-RETURNING-LIST-OF-COMPILED)
 219      0   0.0   1988  11.2  17781 100.0        -  VARJO.INTERNALS::LIKELY-RECURSION-P
 220      0   0.0    962   5.4  17781 100.0        -  VARJO.INTERNALS:ENV-MERGE-HISTORY
 221      0   0.0    473   2.7  17781 100.0        -  VARJO.INTERNALS:ENV-PRUNE-MANY
 222      0   0.0    132   0.7  17781 100.0        -  VARJO.INTERNALS::COMPILE-REGULAR-FUNCTION-CALL
 223      0   0.0     93   0.5  17781 100.0        -  (LAMBDA (VARJO.INTERNALS::_) :IN VARJO.INTERNALS::GET-FORM-BINDING)
 224      0   0.0     89   0.5  17781 100.0        -  VARJO.INTERNALS::COMPILE-CALL-WITH-SET-OF-FUNCTIONS
 225      0   0.0     86   0.5  17781 100.0        -  VARJO.INTERNALS::FIND-FUNCTIONS-IN-SET-FOR-ARGS
 226      0   0.0     56   0.3  17781 100.0        -  VARJO.INTERNALS::RESOLVE-FUNC-SET
 227      0   0.0     40   0.2  17781 100.0        -  VARJO.INTERNALS:TRY-COMPILE-ARG
 228      0   0.0     40   0.2  17781 100.0        -  VARJO.INTERNALS::TRY-COMPILE-ARGS
 229      0   0.0     33   0.2  17781 100.0        -  FORMAT
